Region,City,Venue Type,Venue Name,Sports/Activities,Data Source Type,Data Source URL,API Available,Scraping Method,Update Frequency,Data Quality,Implementation Status,Data Integration Method,Contact Info,Notes
Fraser Valley,Abbotsford,Municipal,Abbotsford Recreation,All Sports,Municipal Website,https://www.abbotsford.ca/city-services/recreation-culture,No,HTML Parsing,Daily,High,Planned,Municipal Database,604-853-2281,Major fraser valley city
Fraser Valley,Mission,Municipal,Mission Recreation,All Sports,Municipal Website,https://mission.ca/services/recreation-culture/,No,HTML Parsing,Daily,Medium,Planned,City Database,604-820-3700,Heritage river city
Fraser Valley,Harrison Hot Springs,Municipal,Harrison Recreation,Swimming/Spa,Municipal Website,https://harrisonhotsprings.ca/,No,HTML Parsing,Weekly,Low,Planned,Tourism API,604-796-2244,Resort community
Fraser Valley,Agassiz,Municipal,Agassiz Recreation,Baseball/Soccer,District Website,https://www.krrd.bc.ca/,No,HTML Parsing,Weekly,Low,Planned,District Database,604-796-2235,Rural farming community
Fraser Valley,Hope,Municipal,Hope Recreation,Outdoor Sports,Municipal Website,https://www.hope.ca/,No,HTML Parsing,Weekly,Medium,Planned,Tourism Integration,604-869-5671,Mountain recreation gateway
Vancouver Island,Victoria,Municipal,Victoria Recreation,All Sports,Municipal Website,https://www.victoria.ca/EN/main/residents/parks-recreation-culture.html,No,HTML Parsing,Daily,High,Planned,Capital City API,250-361-0600,Provincial capital
Vancouver Island,Victoria,University,University of Victoria,All Sports,University Website,https://www.uvic.ca/recreation/,No,JSON API Scraping,Daily,High,Planned,University API,250-721-8292,Major university campus
Vancouver Island,Victoria,Arena Complex,Save-On-Foods Memorial Centre,Hockey/Events,Venue Website,https://www.saveonfoodscentre.com/,No,Event Calendar API,Daily,Medium,Planned,Ticketing API,250-220-7777,WHL Victoria Royals home
Vancouver Island,Saanich,Municipal,Saanich Recreation,All Sports,Municipal Website,https://www.saanich.ca/EN/main/parks-recreation-culture.html,No,HTML Parsing,Daily,High,Planned,Municipal Database,250-475-5400,Greater victoria area
Vancouver Island,Esquimalt,Municipal,Esquimalt Recreation,All Sports,Municipal Website,https://www.esquimalt.ca/recreation-parks,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-414-7100,Naval base community
Vancouver Island,Oak Bay,Municipal,Oak Bay Recreation,All Sports,Municipal Website,https://www.oakbay.ca/parks-recreation/recreation-centres,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-595-7946,Upscale residential area
Vancouver Island,Sidney,Municipal,Sidney Recreation,All Sports,Municipal Website,https://www.sidney.ca/EN/main/residents/parks-recreation-culture.html,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-656-1139,Ferry terminal community
Vancouver Island,Langford,Municipal,Langford Recreation,All Sports,Municipal Website,https://www.langford.ca/EN/main/residents/parks-recreation.html,No,HTML Parsing,Daily,High,Planned,Municipal Database,250-478-7882,Fastest growing BC city
Vancouver Island,Sooke,Municipal,Sooke Recreation,All Sports,Municipal Website,https://www.sooke.ca/EN/main/residents/parks-recreation-culture.html,No,HTML Parsing,Weekly,Medium,Planned,Municipal Database,250-642-1634,Rural coastal community
Vancouver Island,Duncan,Municipal,Duncan Recreation,All Sports,Municipal Website,https://www.duncan.ca/EN/main/residents/parks-recreation-culture.html,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-746-6126,Cowichan valley center
Vancouver Island,Nanaimo,Municipal,Nanaimo Recreation,All Sports,Municipal Website,https://www.nanaimo.ca/parks-recreation-culture,No,HTML Parsing,Daily,High,Planned,Municipal API,250-756-5200,Island's second largest city
Vancouver Island,Nanaimo,University,Vancouver Island University,All Sports,University Website,https://www.viu.ca/campuslife/recreation,No,JSON API Scraping,Daily,Medium,Planned,University API,250-753-3245,Regional university
Vancouver Island,Parksville,Municipal,Parksville Recreation,All Sports,Municipal Website,https://www.parksville.ca/EN/main/residents/parks-recreation-culture.html,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-248-6144,Beach resort community
Vancouver Island,Qualicum Beach,Municipal,Qualicum Beach Recreation,All Sports,Municipal Website,https://www.qualicumbeach.com/EN/main/residents/parks-recreation-culture.html,No,HTML Parsing,Weekly,Medium,Planned,Municipal Database,250-752-6921,Retirement community
Vancouver Island,Port Alberni,Municipal,Port Alberni Recreation,All Sports,Municipal Website,https://www.portalberni.ca/services/recreation-culture,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-723-2146,Industrial port city
Vancouver Island,Tofino,Municipal,Tofino Recreation,Surfing/Beach Sports,Municipal Website,https://www.tofino.ca/,No,HTML Parsing,Weekly,Low,Planned,Tourism API,250-725-3229,Surfing destination
Vancouver Island,Ucluelet,Municipal,Ucluelet Recreation,Surfing/Fishing,Municipal Website,https://ucluelet.ca/,No,HTML Parsing,Weekly,Low,Planned,Tourism API,250-726-7744,Storm watching destination
Vancouver Island,Campbell River,Municipal,Campbell River Recreation,All Sports,Municipal Website,https://www.campbellriver.ca/services/recreation-culture,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-286-5700,Salmon capital
Vancouver Island,Courtenay,Municipal,Courtenay Recreation,All Sports,Municipal Website,https://www.courtenay.ca/EN/main/residents/parks-recreation-culture.html,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-334-4441,Comox valley center
Vancouver Island,Comox,Municipal,Comox Recreation,All Sports,Municipal Website,https://www.comox.ca/EN/main/residents/parks-recreation-culture.html,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-339-2202,Military base community
Interior,Kelowna,Municipal,Kelowna Recreation,All Sports,Municipal Website,https://www.kelowna.ca/our-community/recreation-culture,No,HTML Parsing,Daily,High,Planned,Municipal API,250-469-8500,Okanagan's largest city
Interior,Kelowna,University,UBC Okanagan,All Sports,University Website,https://recreation.ok.ubc.ca/,No,JSON API Scraping,Daily,High,Planned,University API,250-807-8932,UBC campus
Interior,Vernon,Municipal,Vernon Recreation,All Sports,Municipal Website,https://www.vernon.ca/government-services/recreation-culture,No,HTML Parsing,Daily,High,Planned,Municipal Database,250-545-1361,North okanagan center
Interior,Penticton,Municipal,Penticton Recreation,All Sports,Municipal Website,https://www.penticton.ca/EN/main/residents/recreation-culture.html,No,HTML Parsing,Daily,High,Planned,Municipal Database,250-490-2400,South okanagan recreation
Interior,Kamloops,Municipal,Kamloops Recreation,All Sports,Municipal Website,https://www.kamloops.ca/parks-recreation,No,HTML Parsing,Daily,High,Planned,Municipal API,250-828-3311,Interior transportation hub
Interior,Kamloops,University,Thompson Rivers University,All Sports,University Website,https://www.tru.ca/recreation.html,No,JSON API Scraping,Daily,Medium,Planned,University API,250-828-5000,Regional university
Interior,Prince George,Municipal,Prince George Recreation,All Sports,Municipal Website,https://www.princegeorge.ca/City+Services/Recreation+and+Culture,No,HTML Parsing,Daily,High,Planned,Municipal API,250-561-7600,Northern BC's largest city
Interior,Prince George,University,University of Northern BC,All Sports,University Website,https://www.unbc.ca/recreation,No,JSON API Scraping,Daily,Medium,Planned,University API,250-960-5555,Northern research university
Interior,Williams Lake,Municipal,Williams Lake Recreation,All Sports,Municipal Website,https://www.williamslake.ca/services/recreation-culture,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-392-2311,Cariboo region center
Interior,Quesnel,Municipal,Quesnel Recreation,All Sports,Municipal Website,https://www.quesnel.ca/services/recreation-culture,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-992-2111,Historic gold rush town
Interior,100 Mile House,Municipal,100 Mile House Recreation,All Sports,District Website,https://www.100milehouse.com/,No,HTML Parsing,Weekly,Medium,Planned,District Database,250-395-2434,Highway stopover community
Interior,Revelstoke,Municipal,Revelstoke Recreation,All Sports/Skiing,Municipal Website,https://www.revelstoke.ca/services/recreation-culture,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-837-2161,Mountain resort town
Interior,Golden,Municipal,Golden Recreation,All Sports/Skiing,Municipal Website,https://www.golden.ca/services/recreation-culture,No,HTML Parsing,Weekly,Medium,Planned,Municipal Database,250-344-2271,Rocky mountain gateway
Interior,Invermere,Municipal,Invermere Recreation,All Sports/Lake Sports,Municipal Website,https://www.invermere.ca/,No,HTML Parsing,Weekly,Medium,Planned,Tourism Integration,250-342-9281,Lake windermere resort
Interior,Cranbrook,Municipal,Cranbrook Recreation,All Sports,Municipal Website,https://www.cranbrook.ca/EN/main/residents/recreation-culture.html,No,HTML Parsing,Daily,High,Planned,Municipal Database,250-426-4211,East kootenay center
Interior,Fernie,Municipal,Fernie Recreation,All Sports/Skiing,Municipal Website,https://www.fernie.ca/EN/main/residents/recreation-culture.html,No,HTML Parsing,Daily,Medium,Planned,Resort Integration,250-423-6871,Ski resort community
Interior,Kimberley,Municipal,Kimberley Recreation,All Sports/Skiing,Municipal Website,https://www.kimberley.ca/services/recreation-culture,No,HTML Parsing,Daily,Medium,Planned,Resort Integration,250-427-5311,Bavarian themed resort
Interior,Castlegar,Municipal,Castlegar Recreation,All Sports,Municipal Website,https://www.castlegar.ca/services/recreation-culture,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-365-7227,West kootenay community
Interior,Nelson,Municipal,Nelson Recreation,All Sports,Municipal Website,https://www.nelson.ca/EN/main/residents/recreation-culture.html,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-352-8201,Artsy mountain community
Interior,Trail,Municipal,Trail Recreation,All Sports,Municipal Website,https://www.trail.ca/EN/main/residents/recreation-culture.html,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-364-0830,Industrial smelter town
Northern BC,Fort St. John,Municipal,Fort St. John Recreation,All Sports,Municipal Website,https://www.fortstjohn.ca/EN/main/residents/recreation-culture.html,No,HTML Parsing,Daily,High,Planned,Municipal Database,250-787-8150,Oil and gas center
Northern BC,Dawson Creek,Municipal,Dawson Creek Recreation,All Sports,Municipal Website,https://www.dawsoncreek.ca/services/recreation-culture,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-784-3600,Mile zero alaska highway
Northern BC,Fort Nelson,Municipal,Fort Nelson Recreation,All Sports,Municipal Website,https://www.fortnelson.ca/,No,HTML Parsing,Weekly,Medium,Planned,Municipal Database,250-774-2541,Remote northern community
Northern BC,Terrace,Municipal,Terrace Recreation,All Sports,Municipal Website,https://www.terrace.ca/services/recreation-culture,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-615-4000,Northwest BC hub
Northern BC,Kitimat,Municipal,Kitimat Recreation,All Sports,Municipal Website,https://www.kitimat.ca/EN/main/residents/recreation-culture.html,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-632-8900,Industrial aluminum town
Northern BC,Prince Rupert,Municipal,Prince Rupert Recreation,All Sports,Municipal Website,https://www.princerupert.ca/services/recreation-culture,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-627-0800,Pacific northwest port
Northern BC,Smithers,Municipal,Smithers Recreation,All Sports,Municipal Website,https://www.smithers.ca/services/recreation-culture,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,250-847-1600,Mountain skiing community
Northern BC,Hazelton,Municipal,Hazelton Recreation,All Sports,Municipal Website,https://www.hazeltons.ca/,No,HTML Parsing,Weekly,Low,Planned,Municipal Database,250-842-2141,Historic indigenous community
Northern BC,Fort St. James,Municipal,Fort St. James Recreation,All Sports,District Website,https://www.districtoffortstjames.ca/,No,HTML Parsing,Weekly,Medium,Planned,District Database,250-996-8233,Historic fur trading post
Coastal,Whistler,Municipal,Whistler Recreation,All Sports/Skiing,Municipal Website,https://www.whistler.ca/services/recreation,No,HTML Parsing,Daily,High,Planned,Resort API Integration,604-935-8100,2010 Olympic ski resort
Coastal,Squamish,Municipal,Squamish Recreation,All Sports/Climbing,Municipal Website,https://www.squamish.ca/your-government/municipal-services/recreation-culture/,No,HTML Parsing,Daily,High,Planned,Municipal Database,604-815-5000,Outdoor recreation capital
Coastal,Pemberton,Municipal,Pemberton Recreation,All Sports,Municipal Website,https://www.pemberton.ca/,No,HTML Parsing,Weekly,Medium,Planned,Municipal Database,604-894-6135,Mountain farming community
Coastal,Sechelt,Municipal,Sechelt Recreation,All Sports,Municipal Website,https://www.sechelt.ca/services/recreation-culture,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,604-885-1986,Sunshine coast center
Coastal,Gibsons,Municipal,Gibsons Recreation,All Sports,Municipal Website,https://www.gibsons.ca/services/recreation-culture,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,604-886-2274,Beachcomber filming location
Coastal,Powell River,Municipal,Powell River Recreation,All Sports,Municipal Website,https://www.powellriver.ca/services/recreation-culture,No,HTML Parsing,Daily,Medium,Planned,Municipal Database,604-485-6291,Paper mill coastal town
Islands,Salt Spring Island,Regional,Salt Spring Recreation,All Sports,Islands Trust,https://www.crd.bc.ca/service/recreation,No,HTML Parsing,Weekly,Medium,Planned,Regional Database,250-537-4448,Gulf islands largest
Islands,Galiano Island,Regional,Galiano Recreation,Limited Sports,Islands Trust,https://www.crd.bc.ca/service/recreation,No,HTML Parsing,Weekly,Low,Planned,Regional Database,250-539-2233,Small gulf island
Islands,Mayne Island,Regional,Mayne Recreation,Limited Sports,Islands Trust,https://www.crd.bc.ca/service/recreation,No,HTML Parsing,Weekly,Low,Planned,Regional Database,250-539-3151,Quiet gulf island
Islands,Pender Island,Regional,Pender Recreation,Limited Sports,Islands Trust,https://www.crd.bc.ca/service/recreation,No,HTML Parsing,Weekly,Low,Planned,Regional Database,250-629-3671,Split gulf island
Islands,Saturna Island,Regional,Saturna Recreation,Limited Sports,Islands Trust,https://www.crd.bc.ca/service/recreation,No,HTML Parsing,Weekly,Low,Planned,Regional Database,250-539-2725,Smallest gulf island
Provincial,BC Parks,All Regions,Provincial Parks,Hiking/Camping/Water Sports,BC Parks Website,https://bcparks.ca/,Yes,API + Web Scraping,Daily,High,Active,Provincial API,1-800-435-5622,230+ provincial parks
Provincial,Recreation Sites and Trails BC,All Regions,Recreation Sites,Hiking/Camping/ATV,RSTBC Website,https://www.sitesandtrailsbc.ca/,No,Database Scraping,Weekly,High,Planned,GIS Database,250-387-4570,Free backcountry sites
Provincial,BC Fishing Resorts,All Regions,Fishing Lodges,Fishing/Boating,Tourism BC,https://www.hellobc.com/,No,Tourism Database,Weekly,Medium,Planned,Tourism API,1-800-435-5622,Remote fishing destinations
Data Aggregators,Sport BC,Province Wide,All Sports,Sport BC Database,https://www.sportbc.com/,No,Organization Database,Weekly,High,Planned,Sports Directory API,604-333-3400,Provincial sport organizations
Data Aggregators,viaSport BC,Province Wide,All Sports,Provincial Sport Database,https://www.viasport.ca/,No,HTML Parsing,Weekly,High,Planned,Grant Database API,778-349-2030,Sport development funding
Data Aggregators,BC School Sports,Province Wide,School Sports,School Sports Database,https://www.bcschoolsports.ca/,No,HTML Parsing,Weekly,Medium,Planned,School Sports API,604-477-3430,High school athletics
Data Aggregators,BC Games Society,Province Wide,All Sports,BC Games Database,https://www.bcgames.org/,No,Event Database,Monthly,Medium,Planned,Event API,250-387-1375,Provincial sport games
Event Platforms,Meetup BC Sports,Province Wide,All Sports,Meetup API,https://www.meetup.com/,Yes,API Access,Hourly,High,Active,Meetup API,N/A,Real-time event platform
Event Platforms,Eventbrite BC Sports,Province Wide,All Sports,Eventbrite API,https://www.eventbrite.ca/,Partial,API + Scraping,Hourly,Medium,Planned,Eventbrite API,N/A,Ticketed events focus
Event Platforms,Facebook Events BC,Province Wide,All Sports,Facebook Graph API,https://www.facebook.com/events/,Limited,API (Restricted),Daily,Medium,Planned,Facebook API,N/A,Social media events
Social Platforms,OpenSports BC,Province Wide,All Sports,OpenSports Platform,https://opensports.ca/,No,Web Scraping,Hourly,High,Active,Platform API,N/A,Drop-in game organization
Social Platforms,JoinMyGame BC,Province Wide,All Sports,JoinMyGame Platform,https://www.joinmygame.com/,No,Web Scraping,Hourly,Medium,Planned,Platform API,N/A,Game finding platform
Social Platforms,PlayFinder BC,Province Wide,All Sports,PlayFinder Platform,https://www.playfinder.com/,No,Web Scraping,Daily,Medium,Active,Platform API,N/A,Venue and game finder
Weather Data,Environment Canada,Province Wide,Weather Conditions,Environment Canada API,https://weather.gc.ca/,Yes,API Access,Hourly,High,Active,Weather API,N/A,Official canadian weather
Weather Data,OpenWeatherMap BC,Province Wide,Weather Conditions,OpenWeatherMap API,https://openweathermap.org/,Yes,API Access,Hourly,High,Planned,Weather API,N/A,Global weather service
Location Data,Google Places BC,Province Wide,Sports Venues,Google Places API,https://maps.googleapis.com/,Yes,API Access,Real-time,High,Active,Places API,N/A,Comprehensive venue database
Location Data,Foursquare BC,Province Wide,Sports Venues,Foursquare API,https://foursquare.com/,Yes,API Access,Real-time,Medium,Planned,Foursquare API,N/A,Venue discovery platform
Location Data,Yelp BC,Province Wide,Sports Venues,Yelp API,https://www.yelp.ca/,Yes,API Access,Daily,High,Planned,Yelp API,N/A,Reviews and ratings
First Nations,Band Recreation Centres,Province Wide,Cultural Sports/All Sports,Individual Band Websites,Various,No,Web Scraping,Weekly,Variable,Planned,Direct Contact,Various,Cultural and traditional sports
Tourism,Destination BC,Province Wide,Tourism Sports,Tourism BC Database,https://www.destinationbc.ca/,No,Tourism Database,Weekly,High,Planned,Tourism API,604-435-5622,Provincial tourism promotion
Tourism,Thompson Okanagan Tourism,Interior,Regional Sports Tourism,Regional Tourism Database,https://www.thompsonokanagan.com/,No,HTML Parsing,Weekly,Medium,Planned,Regional API,250-860-5999,Interior tourism region
Tourism,Vancouver Coast Mountains,Southwest BC,Regional Sports Tourism,Regional Tourism Database,https://www.vancouvercoastmountains.com/,No,HTML Parsing,Weekly,Medium,Planned,Regional API,604-739-9011,Southwest tourism region
Tourism,Cariboo Chilcotin Coast,Central BC,Regional Sports Tourism,Regional Tourism Database,https://www.landwithoutlimits.com/,No,HTML Parsing,Weekly,Medium,Planned,Regional API,250-392-2226,Central BC tourism region
Tourism,Northern BC Tourism,Northern BC,Regional Sports Tourism,Regional Tourism Database,https://www.northernbctourism.ca/,No,HTML Parsing,Weekly,Medium,Planned,Regional API,250-561-0432,Northern tourism region
Tourism,Kootenay Rockies Tourism,Kootenays,Regional Sports Tourism,Regional Tourism Database,https://www.kootenayrockies.com/,No,HTML Parsing,Weekly,Medium,Planned,Regional API,250-427-4838,Mountain tourism region
Tourism,Vancouver Island Tourism,Vancouver Island,Regional Sports Tourism,Regional Tourism Database,https://www.vancouverisland.travel/,No,HTML Parsing,Weekly,Medium,Planned,Regional API,250-754-3500,Island tourism region
